indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F600,BMU,2015,6.140349864959717,,
FOSGP.5T8.F600,BMU,2017,8.029199600219727,,
FOSGP.5T8.F600,BMU,2018,6.338029861450195,,
FOSGP.5T8.F600,BRA,2015,3.188440084457397,,
FOSGP.5T8.F600,BRA,2016,3.177969932556152,,
FOSGP.5T8.F600,BRA,2017,2.938509941101074,,
FOSGP.5T8.F600,BRA,2018,3.349550008773804,,
FOSGP.5T8.F600,BRA,2019,3.47435998916626,,
FOSGP.5T8.F600,BRA,2020,3.914580106735229,,
FOSGP.5T8.F600,BRN,2015,16.00433921813965,,
FOSGP.5T8.F600,BRN,2018,13.53361988067627,,
FOSGP.5T8.F600,BRN,2019,13.5907096862793,,
FOSGP.5T8.F600,BRN,2020,16.75341987609863,,
FOSGP.5T8.F600,BWA,2020,4.96373987197876,,
FOSGP.5T8.F600,CAN,2015,2.696540117263794,NAT_EST,
FOSGP.5T8.F600,CAN,2016,2.907900094985962,NAT_EST,
FOSGP.5T8.F600,CAN,2018,3.286250114440918,,
FOSGP.5T8.F600,CAN,2019,4.396659851074219,,
FOSGP.5T8.F600,CAN,2020,5.33105993270874,,
FOSGP.5T8.F600,CHE,2015,2.375319957733154,,
FOSGP.5T8.F600,CHE,2016,2.347990036010742,,
FOSGP.5T8.F600,CHE,2017,2.47475004196167,,
FOSGP.5T8.F600,CHE,2018,2.546159982681274,,
FOSGP.5T8.F600,CHE,2019,2.727890014648438,,
FOSGP.5T8.F600,CHE,2020,2.920180082321167,,
FOSGP.5T8.F600,CHL,2015,3.263740062713623,,
FOSGP.5T8.F600,CHL,2016,3.175659894943237,,
FOSGP.5T8.F600,CHL,2017,2.915649890899658,,
FOSGP.5T8.F600,CHL,2018,3.004329919815063,,
FOSGP.5T8.F600,CHL,2019,2.978859901428223,,
FOSGP.5T8.F600,CHL,2020,3.414350032806396,,
FOSGP.5T8.F600,CMR,2019,6.869259834289551,,
FOSGP.5T8.F600,CMR,2020,5.399059772491455,,
FOSGP.5T8.F600,COD,2016,6.387609958648682,,
FOSGP.5T8.F600,COG,2017,2.088119983673096,,
FOSGP.5T8.F600,COL,2015,5.321579933166504,,
FOSGP.5T8.F600,COL,2016,5.493040084838867,,
FOSGP.5T8.F600,COL,2017,4.993869781494141,,
FOSGP.5T8.F600,COL,2018,4.823470115661621,,
FOSGP.5T8.F600,COL,2019,3.396359920501709,,
FOSGP.5T8.F600,COL,2020,3.379470109939575,,
FOSGP.5T8.F600,CPV,2016,0.5784500241279602,,
FOSGP.5T8.F600,CPV,2017,2.294790029525757,,
FOSGP.5T8.F600,CPV,2018,1.760560035705566,,
FOSGP.5T8.F600,CRI,2015,4.96403980255127,,
FOSGP.5T8.F600,CRI,2016,4.701710224151611,,
FOSGP.5T8.F600,CRI,2017,5.350039958953857,,
FOSGP.5T8.F600,CRI,2018,5.611539840698242,,
FOSGP.5T8.F600,CRI,2019,5.45674991607666,,
FOSGP.5T8.F600,CRI,2020,5.560649871826172,,
FOSGP.5T8.F600,CUB,2016,2.787290096282959,,
FOSGP.5T8.F600,CUB,2019,5.967410087585449,,
FOSGP.5T8.F600,CUB,2020,4.785240173339844,,
FOSGP.5T8.F600,CYP,2015,3.022289991378784,,
FOSGP.5T8.F600,CYP,2016,2.363420009613037,,
FOSGP.5T8.F600,CYP,2017,2.719259977340698,,
FOSGP.5T8.F600,CYP,2018,2.568589925765991,,
FOSGP.5T8.F600,CYP,2019,2.913089990615845,,
FOSGP.5T8.F600,CYP,2020,2.7011399269104,,
FOSGP.5T8.F600,CZE,2015,3.921770095825195,,
FOSGP.5T8.F600,CZE,2016,3.927099943161011,,
FOSGP.5T8.F600,CZE,2017,4.549469947814941,,
FOSGP.5T8.F600,CZE,2018,4.9344801902771,,
FOSGP.5T8.F600,CZE,2019,5.03617000579834,,
FOSGP.5T8.F600,CZE,2020,5.176909923553467,,
FOSGP.5T8.F600,DEU,2015,4.544340133666992,,
FOSGP.5T8.F600,DEU,2016,4.54951000213623,,
FOSGP.5T8.F600,DEU,2017,4.696619987487793,,
FOSGP.5T8.F600,DEU,2018,4.862120151519775,,
FOSGP.5T8.F600,DEU,2019,4.543819904327393,,
FOSGP.5T8.F600,DEU,2020,4.867459774017334,,
FOSGP.5T8.F600,DNK,2015,4.361259937286377,,
FOSGP.5T8.F600,DNK,2016,4.531599998474121,,
FOSGP.5T8.F600,DNK,2017,4.757750034332275,,
FOSGP.5T8.F600,DNK,2018,4.756360054016113,,
FOSGP.5T8.F600,DNK,2019,4.919439792633057,,
FOSGP.5T8.F600,DNK,2020,5.361249923706055,,
FOSGP.5T8.F600,DOM,2015,8.664090156555176,,
FOSGP.5T8.F600,DOM,2016,4.285930156707764,,
FOSGP.5T8.F600,DOM,2017,3.720750093460083,,
FOSGP.5T8.F600,DOM,2020,4.266329765319824,,
FOSGP.5T8.F600,DZA,2015,2.848769903182983,,
FOSGP.5T8.F600,DZA,2016,2.522559881210327,,
FOSGP.5T8.F600,DZA,2018,2.625339984893799,,
FOSGP.5T8.F600,DZA,2019,3.377710103988647,,
FOSGP.5T8.F600,DZA,2020,3.034990072250366,UIS_EST,
FOSGP.5T8.F600,ECU,2015,5.092450141906738,,
FOSGP.5T8.F600,ECU,2016,4.468200206756592,,
FOSGP.5T8.F600,ECU,2018,0.1904399991035461,UIS_EST,
FOSGP.5T8.F600,ECU,2019,0.3450399935245514,,
FOSGP.5T8.F600,ECU,2020,1.56893002986908,,
FOSGP.5T8.F600,EGY,2016,1.452069997787476,,
FOSGP.5T8.F600,ERI,2016,0.3495100140571594,,
FOSGP.5T8.F600,ESP,2015,3.954479932785034,,
FOSGP.5T8.F600,ESP,2016,3.875200033187866,,
FOSGP.5T8.F600,ESP,2017,3.973439931869507,,
FOSGP.5T8.F600,ESP,2018,3.922470092773438,,
FOSGP.5T8.F600,ESP,2020,3.968770027160645,,
FOSGP.5T8.F600,EST,2015,4.918499946594238,,
FOSGP.5T8.F600,EST,2016,6.353539943695068,,
FOSGP.5T8.F600,EST,2017,7.444920063018799,,
FOSGP.5T8.F600,EST,2018,6.661520004272461,,
FOSGP.5T8.F600,EST,2019,7.958320140838623,,
FOSGP.5T8.F600,EST,2020,8.40188980102539,,
FOSGP.5T8.F600,FIN,2015,6.658569812774658,,
FOSGP.5T8.F600,FIN,2016,7.059539794921875,,
FOSGP.5T8.F600,FIN,2017,6.302549839019775,,
FOSGP.5T8.F600,FIN,2018,7.034820079803467,,
FOSGP.5T8.F600,FIN,2019,7.354340076446533,,
FOSGP.5T8.F600,FIN,2020,7.485420227050781,,
FOSGP.5T8.F600,FJI,2019,1.672240018844604,,
FOSGP.5T8.F600,FRA,2015,3.059829950332642,,
FOSGP.5T8.F600,FRA,2016,3.031790018081665,,
FOSGP.5T8.F600,FRA,2018,3.49576997756958,,
FOSGP.5T8.F600,FRA,2019,3.5867600440979,,
FOSGP.5T8.F600,FRA,2020,3.612629890441895,,
FOSGP.5T8.F600,GBR,2015,3.612289905548096,,
FOSGP.5T8.F600,GBR,2016,3.61912989616394,,
FOSGP.5T8.F600,GBR,2019,3.984839916229248,,
FOSGP.5T8.F600,GBR,2020,4.384280204772949,,
FOSGP.5T8.F600,GEO,2016,5.019589900970459,,
FOSGP.5T8.F600,GEO,2017,3.597059965133667,,
FOSGP.5T8.F600,GEO,2018,3.187700033187866,,
FOSGP.5T8.F600,GEO,2019,4.63247013092041,,
FOSGP.5T8.F600,GEO,2020,4.604350090026855,,
FOSGP.5T8.F600,GHA,2015,1.649569988250732,,
FOSGP.5T8.F600,GHA,2016,0.3353799879550934,,
FOSGP.5T8.F600,GHA,2017,0.121119998395443,,
FOSGP.5T8.F600,GHA,2018,3.169990062713623,,
FOSGP.5T8.F600,GHA,2019,3.914880037307739,,
FOSGP.5T8.F600,GHA,2020,4.627270221710205,,
FOSGP.5T8.F600,GIB,2020,0,,NA
FOSGP.5T8.F600,GRC,2016,3.161780118942261,,
FOSGP.5T8.F600,GRC,2017,2.890039920806885,,
FOSGP.5T8.F600,GRC,2018,3.091929912567139,,
FOSGP.5T8.F600,GRC,2019,3.382479906082153,,
FOSGP.5T8.F600,GRC,2020,3.515249967575073,,
FOSGP.5T8.F600,GRD,2015,2.99003005027771,,
FOSGP.5T8.F600,GRD,2017,3.150279998779297,,
FOSGP.5T8.F600,GRD,2018,3.415640115737915,,
FOSGP.5T8.F600,GTM,2015,1.437049984931946,,
FOSGP.5T8.F600,HND,2015,3.356450080871582,,
FOSGP.5T8.F600,HND,2016,2.908799886703491,,
FOSGP.5T8.F600,HND,2017,2.96262001991272,,
FOSGP.5T8.F600,HND,2018,3.197669982910156,,
FOSGP.5T8.F600,HND,2019,3.434489965438843,,
FOSGP.5T8.F600,HRV,2015,4.058760166168213,,
FOSGP.5T8.F600,HRV,2016,4.713769912719727,,
FOSGP.5T8.F600,HRV,2017,5.519430160522461,,
FOSGP.5T8.F600,HRV,2018,4.023139953613281,,
FOSGP.5T8.F600,HRV,2019,4.371880054473877,,
FOSGP.5T8.F600,HRV,2020,4.650690078735352,,
FOSGP.5T8.F600,HUN,2015,2.365479946136475,,
FOSGP.5T8.F600,HUN,2016,4.322420120239258,,
FOSGP.5T8.F600,HUN,2017,4.306829929351807,,
FOSGP.5T8.F600,HUN,2018,4.586730003356934,,
FOSGP.5T8.F600,HUN,2019,4.906320095062256,,
FOSGP.5T8.F600,HUN,2020,3.139260053634644,,
FOSGP.5T8.F600,IDN,2015,8.905559539794922,,
FOSGP.5T8.F600,IDN,2016,9.569259643554688,,
FOSGP.5T8.F600,IDN,2017,8.187390327453613,,
FOSGP.5T8.F600,IDN,2018,8.25905990600586,,
FOSGP.5T8.F600,IND,2015,6.94734001159668,,
FOSGP.5T8.F600,IND,2016,6.521460056304932,,
FOSGP.5T8.F600,IND,2017,5.124499797821045,,
FOSGP.5T8.F600,IND,2018,4.915060043334961,,
FOSGP.5T8.F600,IND,2019,5.087180137634277,,
FOSGP.5T8.F600,IND,2020,4.885650157928467,,
FOSGP.5T8.F600,IRL,2015,6.470739841461182,,
FOSGP.5T8.F600,IRL,2016,6.978059768676758,,
FOSGP.5T8.F600,IRL,2018,7.938789844512939,,
FOSGP.5T8.F600,IRL,2019,7.768610000610352,,
FOSGP.5T8.F600,IRL,2020,8.629590034484863,,
FOSGP.5T8.F600,IRN,2015,8.626500129699707,,
FOSGP.5T8.F600,IRN,2016,9.014920234680176,,
FOSGP.5T8.F600,IRN,2017,7.93867015838623,,
FOSGP.5T8.F600,IRN,2018,7.107329845428467,,
FOSGP.5T8.F600,IRN,2019,6.620339870452881,,
FOSGP.5T8.F600,IRN,2020,6.434400081634521,,
FOSGP.5T8.F600,ISL,2018,5.05810022354126,,
FOSGP.5T8.F600,ISL,2019,5.645709991455078,,
FOSGP.5T8.F600,ISL,2020,5.689080238342285,,
FOSGP.5T8.F600,ISR,2020,6.373700141906738,,
FOSGP.5T8.F600,ITA,2015,3.107180118560791,,
FOSGP.5T8.F600,ITA,2016,1.012369990348816,,
FOSGP.5T8.F600,ITA,2018,1.274549961090088,,
FOSGP.5T8.F600,ITA,2019,1.334030032157898,,
FOSGP.5T8.F600,ITA,2020,1.402649998664856,,
FOSGP.5T8.F600,JOR,2015,6.06564998626709,,
FOSGP.5T8.F600,JOR,2020,8.106559753417969,,
FOSGP.5T8.F600,KAZ,2016,5.140349864959717,,
FOSGP.5T8.F600,KAZ,2017,1.989529967308044,,
FOSGP.5T8.F600,KAZ,2018,2.005630016326904,,
FOSGP.5T8.F600,KAZ,2019,2.934010028839111,,
FOSGP.5T8.F600,KAZ,2020,3.409749984741211,,
FOSGP.5T8.F600,KGZ,2015,2.582200050354004,,
FOSGP.5T8.F600,KGZ,2016,3.063610076904297,,
FOSGP.5T8.F600,KGZ,2017,3.969670057296753,,
FOSGP.5T8.F600,KGZ,2018,4.139770030975342,,
FOSGP.5T8.F600,KGZ,2019,4.433000087738037,,
FOSGP.5T8.F600,KGZ,2020,3.947269916534424,,
FOSGP.5T8.F600,KHM,2019,9.736720085144043,,
FOSGP.5T8.F600,KOR,2015,2.142620086669922,,
FOSGP.5T8.F600,KOR,2016,2.174079895019531,,
FOSGP.5T8.F600,KOR,2017,4.485949993133545,,
FOSGP.5T8.F600,KOR,2019,4.657189846038818,,
FOSGP.5T8.F600,KOR,2020,4.708749771118164,,
FOSGP.5T8.F600,LAO,2015,4.452869892120361,,
FOSGP.5T8.F600,LAO,2016,4.400390148162842,,
FOSGP.5T8.F600,LAO,2017,5.793499946594238,,
FOSGP.5T8.F600,LAO,2018,8.164030075073242,,
FOSGP.5T8.F600,LAO,2019,8.487190246582031,,
FOSGP.5T8.F600,LIE,2018,0,,NIL
FOSGP.5T8.F600,LIE,2019,0,,NIL
FOSGP.5T8.F600,LIE,2020,0,,NIL
FOSGP.5T8.F600,LKA,2015,6.793710231781006,,
FOSGP.5T8.F600,LKA,2016,6.888569831848145,,
FOSGP.5T8.F600,LKA,2017,8.047289848327637,,
FOSGP.5T8.F600,LKA,2018,7.343430042266846,,
FOSGP.5T8.F600,LKA,2019,8.007570266723633,,
FOSGP.5T8.F600,LKA,2020,7.070950031280518,,
FOSGP.5T8.F600,LSO,2015,2.314189910888672,,
FOSGP.5T8.F600,LSO,2018,4.85269021987915,,
FOSGP.5T8.F600,LTU,2015,1.822700023651123,,
FOSGP.5T8.F600,LTU,2016,2.02472996711731,,
FOSGP.5T8.F600,LTU,2017,2.745270013809204,,
FOSGP.5T8.F600,LTU,2018,3.112629890441895,,
FOSGP.5T8.F600,LTU,2019,3.679440021514893,,
FOSGP.5T8.F600,LTU,2020,3.985430002212524,,
FOSGP.5T8.F600,LUX,2015,4.673810005187988,,
FOSGP.5T8.F600,LUX,2016,5.766940116882324,,
FOSGP.5T8.F600,LUX,2018,5.818600177764893,,
FOSGP.5T8.F600,LUX,2019,4.985509872436523,,
FOSGP.5T8.F600,LUX,2020,6.396590232849121,,
FOSGP.5T8.F600,LVA,2015,4.418069839477539,,
FOSGP.5T8.F600,LVA,2016,4.811339855194092,,
FOSGP.5T8.F600,LVA,2017,4.956470012664795,,
FOSGP.5T8.F600,LVA,2018,4.693089962005615,,
FOSGP.5T8.F600,LVA,2019,4.377689838409424,,
FOSGP.5T8.F600,LVA,2020,4.619619846343994,,
FOSGP.5T8.F600,MAC,2015,3.131560087203979,,
FOSGP.5T8.F600,MAC,2016,2.86614990234375,,
FOSGP.5T8.F600,MAC,2017,3.320110082626343,,
FOSGP.5T8.F600,MAC,2018,3.518800020217896,,
FOSGP.5T8.F600,MAC,2019,3.450779914855957,,
FOSGP.5T8.F600,MAC,2020,3.385669946670532,,
FOSGP.5T8.F600,MAR,2015,1.974349975585938,,
FOSGP.5T8.F600,MAR,2016,5.042490005493164,,
FOSGP.5T8.F600,MAR,2017,3.520479917526245,,
FOSGP.5T8.F600,MAR,2019,3.87719988822937,,
FOSGP.5T8.F600,MAR,2020,4.94163990020752,,
FOSGP.5T8.F600,MCO,2016,0,,NIL
FOSGP.5T8.F600,MCO,2017,0,,NIL
FOSGP.5T8.F600,MCO,2018,0,,NIL
FOSGP.5T8.F600,MCO,2019,0,,NIL
FOSGP.5T8.F600,MCO,2020,0,,NIL
FOSGP.5T8.F600,MDA,2015,1.687909960746765,,
FOSGP.5T8.F600,MDA,2018,4.523449897766113,,
FOSGP.5T8.F600,MDA,2019,4.841579914093018,,
FOSGP.5T8.F600,MDA,2020,5.650750160217285,,
FOSGP.5T8.F600,MDG,2015,7.841720104217529,,
FOSGP.5T8.F600,MDG,2016,6.542459964752197,,
FOSGP.5T8.F600,MDG,2017,6.346389770507813,,
FOSGP.5T8.F600,MDG,2018,9.60925006866455,,
FOSGP.5T8.F600,MDG,2019,7.955180168151855,,
FOSGP.5T8.F600,MDG,2020,7.089789867401123,,
FOSGP.5T8.F600,MDV,2017,3.347729921340942,,
FOSGP.5T8.F600,MDV,2019,3.181159973144531,,
FOSGP.5T8.F600,MEX,2015,1.678570032119751,,
FOSGP.5T8.F600,MEX,2016,1.505730032920837,,
FOSGP.5T8.F600,MEX,2017,5.380949974060059,,
FOSGP.5T8.F600,MEX,2019,4.880420207977295,,
FOSGP.5T8.F600,MEX,2020,4.605649948120117,,
FOSGP.5T8.F600,MHL,2019,0,,NIL
FOSGP.5T8.F600,MKD,2015,5.967339992523193,,
FOSGP.5T8.F600,MKD,2017,6.56043004989624,,
FOSGP.5T8.F600,MKD,2018,6.31997013092041,,
FOSGP.5T8.F600,MKD,2020,5.883019924163818,,
FOSGP.5T8.F600,MLT,2015,8.474579811096191,,
FOSGP.5T8.F600,MLT,2016,5.051640033721924,,
FOSGP.5T8.F600,MLT,2017,7.925759792327881,,
FOSGP.5T8.F600,MLT,2019,6.041910171508789,,
FOSGP.5T8.F600,MLT,2020,6.481579780578613,,
FOSGP.5T8.F600,MMR,2018,2.15034008026123,,
FOSGP.5T8.F600,MNE,2019,4.536409854888916,,
FOSGP.5T8.F600,MNG,2016,0,,NIL
FOSGP.5T8.F600,MNG,2017,2.050110101699829,,
FOSGP.5T8.F600,MNG,2018,3.257440090179443,,
FOSGP.5T8.F600,MNG,2019,2.482850074768066,,
FOSGP.5T8.F600,MOZ,2015,1.343719959259033,,
FOSGP.5T8.F600,MOZ,2016,2.033550024032593,,
FOSGP.5T8.F600,MOZ,2017,2.328490018844604,,
FOSGP.5T8.F600,MOZ,2018,1.33856999874115,,
FOSGP.5T8.F600,MRT,2016,4.48105001449585,,
FOSGP.5T8.F600,MRT,2020,5.138979911804199,,
FOSGP.5T8.F600,MSR,2019,0,,NA
FOSGP.5T8.F600,MUS,2017,10.40482997894287,,
FOSGP.5T8.F600,MUS,2020,8.686369895935059,,
FOSGP.5T8.F600,MYS,2018,7.13470983505249,,
FOSGP.5T8.F600,MYS,2019,6.887129783630371,,
FOSGP.5T8.F600,NAM,2015,4.497499942779541,,
FOSGP.5T8.F600,NAM,2016,4.439720153808594,,
FOSGP.5T8.F600,NAM,2017,4.87431001663208,,
FOSGP.5T8.F600,NAM,2018,4.726160049438477,,
