indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F500,ABW,2015,0,,NIL
FOSGP.5T8.F500,ABW,2016,2.222219944000244,,
FOSGP.5T8.F500,AFG,2020,0.8136199712753296,,
FOSGP.5T8.F500,AGO,2015,2.703350067138672,,
FOSGP.5T8.F500,ALB,2015,5.282680034637451,,
FOSGP.5T8.F500,ALB,2016,4.66126012802124,,
FOSGP.5T8.F500,ALB,2017,4.917019844055176,,
FOSGP.5T8.F500,ALB,2018,4.302229881286621,,
FOSGP.5T8.F500,ALB,2019,4.092750072479248,,
FOSGP.5T8.F500,ALB,2020,3.806740045547485,,
FOSGP.5T8.F500,AND,2015,0,,NIL
FOSGP.5T8.F500,AND,2016,0,,NIL
FOSGP.5T8.F500,AND,2017,0,,NIL
FOSGP.5T8.F500,AND,2018,0,,NIL
FOSGP.5T8.F500,AND,2019,0,,NIL
FOSGP.5T8.F500,AND,2020,0,,NIL
FOSGP.5T8.F500,ARE,2018,2.179970026016235,,
FOSGP.5T8.F500,ARE,2019,2.265059947967529,,
FOSGP.5T8.F500,ARE,2020,2.461770057678223,,
FOSGP.5T8.F500,ARG,2018,6.709640026092529,,
FOSGP.5T8.F500,ARG,2020,6.701600074768066,,
FOSGP.5T8.F500,ARM,2015,6.880549907684326,,
FOSGP.5T8.F500,ARM,2016,5.254950046539307,,
FOSGP.5T8.F500,ARM,2017,5.065929889678955,,
FOSGP.5T8.F500,ARM,2018,5.8573899269104,,
FOSGP.5T8.F500,ARM,2019,6.609149932861328,,
FOSGP.5T8.F500,ARM,2020,4.513430118560791,,
FOSGP.5T8.F500,AUS,2015,6.131410121917725,,
FOSGP.5T8.F500,AUS,2017,6.027780055999756,,
FOSGP.5T8.F500,AUS,2018,4.997039794921875,,
FOSGP.5T8.F500,AUS,2019,4.756579875946045,,
FOSGP.5T8.F500,AUS,2020,4.678009986877441,,
FOSGP.5T8.F500,AUT,2015,5.574480056762695,,
FOSGP.5T8.F500,AUT,2016,5.754209995269775,,
FOSGP.5T8.F500,AUT,2018,6.078670024871826,,
FOSGP.5T8.F500,AUT,2019,5.92011022567749,,
FOSGP.5T8.F500,AUT,2020,5.562709808349609,,
FOSGP.5T8.F500,AZE,2015,4.206490039825439,,
FOSGP.5T8.F500,AZE,2016,3.946199893951416,,
FOSGP.5T8.F500,AZE,2017,4.668350219726563,,
FOSGP.5T8.F500,AZE,2018,3.802570104598999,,
FOSGP.5T8.F500,AZE,2019,4.229680061340332,,
FOSGP.5T8.F500,AZE,2020,2.864409923553467,,
FOSGP.5T8.F500,BDI,2016,10.37078952789307,,
FOSGP.5T8.F500,BDI,2017,7.379690170288086,,
FOSGP.5T8.F500,BDI,2018,13.36972999572754,,
FOSGP.5T8.F500,BEL,2015,4.456729888916016,,
FOSGP.5T8.F500,BEL,2016,3.920559883117676,,
FOSGP.5T8.F500,BEL,2017,3.64805006980896,,
FOSGP.5T8.F500,BEL,2018,3.717289924621582,,
FOSGP.5T8.F500,BEL,2019,3.892790079116821,,
FOSGP.5T8.F500,BEL,2020,3.871220111846924,,
FOSGP.5T8.F500,BEN,2015,9.188679695129395,,
FOSGP.5T8.F500,BEN,2018,11.34348964691162,,
FOSGP.5T8.F500,BEN,2019,16.19708061218262,,
FOSGP.5T8.F500,BEN,2020,10.02114009857178,,
FOSGP.5T8.F500,BFA,2015,6.684120178222656,,
FOSGP.5T8.F500,BFA,2016,5.734389781951904,,
FOSGP.5T8.F500,BFA,2017,5.496260166168213,,
FOSGP.5T8.F500,BFA,2018,6.880290031433105,,
FOSGP.5T8.F500,BFA,2019,5.523419857025146,,
FOSGP.5T8.F500,BFA,2020,7.23022985458374,,
FOSGP.5T8.F500,BGD,2016,7.952099800109863,,
FOSGP.5T8.F500,BGD,2017,7.952099800109863,,
FOSGP.5T8.F500,BGD,2019,7.973320007324219,,
